pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
"HAT-P-2 b",12.96900000,2888.95000000,5.63347290000,1540.00,6290.00,1.640000
"HAT-P-30 b",16.14096000,263.79890000,2.81060000000,,6304.00,1.310000
"TOI-1478 b",11.88154000,270.47333000,10.18024900000,918.00,5597.00,1.048000
"TOI-7510 d",10.52000000,190.00000000,48.86446800000,542.40,5720.00,1.035000
"TOI-1333 b",15.64776400,753.25710000,4.72021900000,1679.00,6274.00,1.925000
"WASP-25 b",13.67500000,184.33400000,3.76482500000,,5703.00,0.920000
"TOI-1438 c",2.75000000,10.60000000,9.42808900000,794.00,5230.00,0.820000
"TOI-1266 c",1.98000000,3.17000000,18.80270000000,346.00,3563.00,0.423200
"TrES-4 b",19.98561259,293.99127648,3.55394500000,,6200.00,1.846000
"TOI-2322 c",1.87400000,18.10000000,20.22552800000,496.80,4664.00,0.662000
"EPIC 211945201 b",6.12000000,27.00000000,19.49213000000,886.35,6025.00,1.380000
"WASP-83 b",11.65736000,95.34900000,4.97125200000,1120.00,5510.00,1.050000
"Kepler-10 b",1.47000000,3.26000000,0.83749070000,2188.00,5708.00,1.065000
"TOI-150.01",15.46842000,556.20250000,5.85734200000,1493.00,6003.00,1.551000
"HATS-2 b",12.57647635,435.42491759,1.35413379000,1550.00,,0.876000
"TOI-561 e",2.51700000,12.40000000,77.14400000000,416.00,,0.843000
"HAT-P-25 b",13.33871000,180.20961000,3.65283600000,,5500.00,0.959000
"WASP-4 b",15.51995468,380.56773454,1.33823160200,,,0.901900
"TOI-4438 b",2.52000000,5.40000000,7.44628000000,435.00,3422.00,0.372000
"HAT-P-64 b",19.08889413,184.34047606,4.00723200000,1766.00,6457.00,1.735000
"TOI-1670 c",10.87271128,183.70481925,40.75014500000,,6330.00,1.308000
"WASP-13 b",15.56900000,151.59900000,4.35301100000,,,1.559000
"GJ 9827 b",1.52900000,4.87000000,1.20897650000,1055.00,4294.00,0.579000
"TRAPPIST-1 f",1.04500000,1.03900000,9.20754000000,,2566.00,0.119200
"K2-27 b",4.48000000,30.90000000,6.77131500000,902.00,5248.00,0.885000
"K2-265 b",1.67600000,4.60000000,2.36906000000,1257.00,5435.00,0.924000
"WASP-194 b",15.47960235,373.13054982,3.18338700000,1693.00,6405.00,1.409000
"TOI-1117 b",2.46000000,8.90000000,2.22816000000,1538.00,5635.00,1.050000
"CoRoT-18 b",12.84551400,1048.83900000,1.90009000000,1487.00,,0.883000
